Country,WB Code,Region,Survey Year,Survey Type,Median income/consumption,Median annual income
Albania,ALB,Europe & Central Asia,2012,c,6.5,7117.5
Angola,AGO,Sub-Saharan Africa,2009,c,2.9,3175.5
Armenia,ARM,Europe & Central Asia,2013,c,5,5475
Australia,AUS,East Asia & Pacific,2010,i,44,48180
Austria,AUT,Europe & Central Asia,2012,i,46.8,51246
Azerbaijan,AZE,Europe & Central Asia,2005,c,7.6,8322
Belarus,BLR,Europe & Central Asia,2012,c,17.1,18724.5
Belgium,BEL,Europe & Central Asia,2012,i,43,47085
Belize,BLZ,Latin America & Caribbean,1999,i,5.2,5694
Benin,BEN,Sub-Saharan Africa,2011,c,1.8,1971
Bhutan,BTN,South Asia,2012,c,6,6570
Bolivia,BOL,Latin America & Caribbean,2013,i,9.3,10183.5
Bosnia and Herzegovina,BIH,Europe & Central Asia,2007,c,16.7,18286.5
Botswana,BWA,Sub-Saharan Africa,2009,c,4.5,4927.5
Brazil,BRA,Latin America & Caribbean,2013,i,11.4,12483
Bulgaria,BGR,Europe & Central Asia,2012,i,13,14235
Burkina Faso,BFA,Sub-Saharan Africa,2009,c,1.75,1916.25
Burundi,BDI,Sub-Saharan Africa,2006,c,1.2,1314
Cameroon,CMR,Sub-Saharan Africa,2007,c,2.8,3066
Canada,CAN,North America,2010,i,46.9,51355.5
Central African Republic,CAF,Sub-Saharan Africa,2008,c,1.35,1478.25
Chad,TCD,Sub-Saharan Africa,2011,c,2.4,2628
Chile,CHL,Latin America & Caribbean,2013,i,14.2,15549
China - Rural,CHN,East Asia & Pacific,2012,C,3.9,4270.5
China - Urban,CHN,East Asia & Pacific,2012,C,9.1,9964.5
Colombia,COL,Latin America & Caribbean,2013,i,8.4,9198
Comoros,COM,Sub-Saharan Africa,2004,c,4.35,4763.25
"Congo, Dem. Rep.",ZAR,Sub-Saharan Africa,2012,c,1.1,1204.5
"Congo, Rep.",COG,Sub-Saharan Africa,2011,c,2.95,3230.25
Costa Rica,CRI,Latin America & Caribbean,2013,i,13.9,15220.5
Cote d'Ivoire,CIV,Sub-Saharan Africa,2008,c,2.8,3066
Croatia,HRV,Europe & Central Asia,2011,i,15.8,17301
Cyprus,CYP,Europe & Central Asia,2012,i,21.7,23761.5
Czech Republic,CZE,Europe & Central Asia,2012,i,23.5,25732.5
Denmark,DNK,Europe & Central Asia,2012,i,42.9,46975.5
Djibouti,DJI,Middle East & North Africa,2012,c,3.9,4270.5
Dominican Republic,DOM,Latin America & Caribbean,2013,i,8.1,8869.5
Ecuador,ECU,Latin America & Caribbean,2013,i,7.8,8541
El Salvador,SLV,Latin America & Caribbean,2013,i,7.2,7884
Estonia,EST,Europe & Central Asia,2012,i,18.9,20695.5
Ethiopia,ETH,Sub-Saharan Africa,2011,c,2.35,2573.25
Fiji,FJI,East Asia & Pacific,2009,c,5.65,6186.75
Finland,FIN,Europe & Central Asia,2012,i,43,47085
France,FRA,Europe & Central Asia,2012,i,43.2,47304
Gabon,GAB,Sub-Saharan Africa,2005,c,4.9,5365.5
"Gambia,The",GMB,Sub-Saharan Africa,2003,c,2.05,2244.75
Georgia,GEO,Europe & Central Asia,2013,c,4.65,5091.75
Germany,DEU,Europe & Central Asia,2011,i,45.3,49603.5
Ghana,GHA,Sub-Saharan Africa,2006,c,3.15,3449.25
Greece,GRC,Europe & Central Asia,2012,i,19.2,21024
Guatemala,GTM,Latin America & Caribbean,2011,i,5.15,5639.25
Guinea,GIN,Sub-Saharan Africa,2012,c,2.35,2573.25
Guinea-Bissau,GNB,Sub-Saharan Africa,2010,c,1.4,1533
Haiti,HTI,Latin America & Caribbean,2012,i,1.7,1861.5
Honduras,HND,Latin America & Caribbean,2013,i,4.6,5037
Hungary,HUN,Europe & Central Asia,2012,i,16.45,18012.75
Iceland,ISL,Europe & Central Asia,2012,i,41.3,45223.5
India-Rural,IND,South Asia,2012,c,2.55,2792.25
India-Urban,IND,South Asia,2010,c,3.55,3887.25
Indonesia-Rural,IDN,East Asia & Pacific,2013,c,3.3,3613.5
Indonesia-Urban,IDN,East Asia & Pacific,2013,c,4.15,4544.25
Iran,IRN,Middle East & North Africa,2013,C,12.9,14125.5
Ireland,IRL,Europe & Central Asia,2012,i,34.2,37449
Israel,ISR,Middle East & North Africa,2010,i,23.8,26061
Italy ,ITA,Europe & Central Asia,2012,i,33.5,36682.5
Jamaica,JAM,Latin America & Caribbean,2004,c,7.9,8650.5
Japan,JPN,East Asia & Pacific,2008,i,34.5,37777.5
Kazakhstan,KAZ,Europe & Central Asia,2013,c,10.45,11442.75
Kenya,KEN,Sub-Saharan Africa,2005,c,2.6,2847
Kiribati,KIR,East Asia & Pacific,2006,c,3.95,4325.25
Kyrgyz Republic,KGZ,Europe & Central Asia,2012,c,4.4,4818
Latvia,LVA,Europe & Central Asia,2012,i,14.7,16096.5
Lesotho,LSO,Sub-Saharan Africa,2010,c,1.45,1587.75
Liberia,LBR,Sub-Saharan Africa,2007,c,1.45,1587.75
Lithuania,LTU,Europe & Central Asia,2012,i,16.2,17739
Luxembourg,LUX,Europe & Central Asia,2012,i,57.9,63400.5
"Macedonia, FYR",MKD,Europe & Central Asia,2008,c,8.15,8924.25
Madagascar,MDG,Sub-Saharan Africa,2010,c,1.05,1149.75
Malawi,MWI,Sub-Saharan Africa,2010,c,1.25,1368.75
Malaysia,MYS,East Asia & Pacific,2009,i,14,15330
Maldives,MDV,South Asia,2010,c,5.75,6296.25
Mali,MLI,Sub-Saharan Africa,2010,c,1.9,2080.5
Mauritania,MRT,Sub-Saharan Africa,2008,c,4.35,4763.25
Mauritius,MUS,Sub-Saharan Africa,2012,c,9.05,9909.75
Mexico (c),MEX,Latin America & Caribbean,2012,c,7.7,8431.5
Mexico (i),MEX,Latin America & Caribbean,2012,i,7.1,7774.5
Micronesia (urban),FSM,East Asia & Pacific,2000,i,1.9,2080.5
Moldova,MDA,Europe & Central Asia,2013,c,8.25,9033.75
Mongolia,MNG,East Asia & Pacific,2012,c,8.2,8979
Montenegro,MNE,Europe & Central Asia,2013,c,11.7,12811.5
Morocco,MAR,Middle East & North Africa,2007,c,5.65,6186.75
Mozambique,MOZ,Sub-Saharan Africa,2009,c,1.35,1478.25
Namibia,NAM,Sub-Saharan Africa,2010,c,3.4,3723
Nepal,NPL,South Asia,2010,c,3.15,3449.25
Netherlands,NLD,Europe & Central Asia,2012,i,43.3,47413.5
Nicaragua,NIC,Latin America & Caribbean,2009,i,5.2,5694
Niger,NER,Sub-Saharan Africa,2011,c,1.9,2080.5
Nigeria,NGA,Sub-Saharan Africa,2010,c,1.8,1971
Norway,NOR,Europe & Central Asia,2012,i,59.5,65152.5
Pakistan,PAK,South Asia,2011,c,3.3,3613.5
Panama,PAN,Latin America & Caribbean,2013,i,13,14235
Papua New Guinea,PNG,East Asia & Pacific,2010,c,2.3,2518.5
Paraguay,PRY,Latin America & Caribbean,2013,i,11.25,12318.75
Peru,PER,Latin America & Caribbean,2013,i,10,10950
Philippines,PHL,East Asia & Pacific,2012,c,3.9,4270.5
Poland (i),POL,Europe & Central Asia,2012,i,18.9,20695.5
Poland (c),POL,Europe & Central Asia,2012,c,13.5,14782.5
Portugal,PRT,Europe & Central Asia,2012,i,20.2,22119
Romania (i),ROM,Europe & Central Asia,2012,i,8.35,9143.25
Romania (c),ROM,Europe & Central Asia,2012,c,7.75,8486.25
Russia,RUS,Europe & Central Asia,2012,c,18.5,20257.5
Rwanda,RWA,Sub-Saharan Africa,2011,c,1.6,1752
Samoa,WSM,East Asia & Pacific,2008,c,6.9,7555.5
Sao Tome and Principe,STP,Sub-Saharan Africa,2010,c,2.35,2573.25
Senegal,SEN,Sub-Saharan Africa,2011,c,2.35,2573.25
Serbia,SRB,Europe & Central Asia,2010,c,11.1,12154.5
Seychelles,SYC,Sub-Saharan Africa,2006,c,12.5,13687.5
Sierra Leone,SLE,Sub-Saharan Africa,2011,c,1.85,2025.75
Slovak Republic,SVK,Europe & Central Asia,2012,i,26.15,28634.25
Slovenia,SVN,Europe & Central Asia,2012,i,29.9,32740.5
Solomon Islands,SLB,East Asia & Pacific,2005,c,2.05,2244.75
South Africa,ZAF,Sub-Saharan Africa,2011,c,4.6,5037
Spain,ESP,Europe & Central Asia,2012,i,30.8,33726
Sri Lanka,LKA,South Asia,2013,c,5.45,5967.75
St Lucia,LCA,Latin America & Caribbean,1995,I,2.5,2737.5
Sudan,SDN,Sub-Saharan Africa,2009,c,3.7,4051.5
Suriname,SUR,Latin America & Caribbean,1999,i,4.6,5037
Swaziland,SWZ,Sub-Saharan Africa,2009,c,2.25,2463.75
Sweden,SWE,Europe & Central Asia,2012,i,44.6,48837
Switzerland,CHE,Europe & Central Asia,2012,i,55.3,60553.5
"Taiwan, China",TWN,East Asia & Pacific,2010,i,34.1,37339.5
Tajikistan,TJK,Europe & Central Asia,2009,c,4.6,5037
Tanzania,TZA,Sub-Saharan Africa,2012,c,2,2190
Thailand,THA,East Asia & Pacific,2012,c,10.75,11771.25
Togo,TGO,Sub-Saharan Africa,2011,c,1.75,1916.25
Tonga,TON,East Asia & Pacific,2009,c,7.45,8157.75
Trinidad and Tobago,TTO,Latin America & Caribbean,1992,I,7.65,8376.75
Tunisia,TUN,Middle East & North Africa,2010,c,7.6,8322
Turkey,TUR,Europe & Central Asia,2012,c,12.2,13359
Uganda,UGA,Sub-Saharan Africa,2012,c,2.5,2737.5
Ukraine,UKR,Europe & Central Asia,2013,c,11.75,12866.25
United Kingdom,GBR,Europe & Central Asia,2012,i,37.8,41391
United States,USA,North America,2013,i,48.2,52779
Uruguay,URY,Latin America & Caribbean,2013,i,17.9,19600.5
Vanuatu,VUT,East Asia & Pacific,2010,c,3.65,3996.75
Venezuela,VEN,Latin America & Caribbean,2006,i,8.4,9198
Vietnam,VNM,East Asia & Pacific,2012,c,6.15,6734.25
West Bank and Gaza,WBG,Middle East & North Africa,2009,c,8.5,9307.5
Zambia,ZMB,Sub-Saharan Africa,2010,c,1.35,1478.25
